SiteName,StationName,SampleDate_D,SampleTypeCode,SampleMatrix,SampleTop,SampleBottom,DepthUnits,DuplicateSample,Extracted,FieldSampleID,LabSampleID,AltSampleID,CoolerID,Sampler,Description,WeightVolume,SampleMethodCode,LogCode,COCNumber,DeliveryGroup,AmbientBlankLot,EquipmentBlankLot,TripBlankLot,FilteredSample,QCSequenceID,QCSampleCode,TaskNumber,PrimarySample,SampleResult,ParameterName,CASNumber,AltParamNumber,Superseded,AnalyticMethod,Value,ReportingUnits,FlagCode,ProblemCode,ValidationCode,DetectedResult,Detect,LimitType,Detect2,LimitType2,Detect3,LimitType3,SpikeAmount,RetentionTime,Error,DilutionFactor,Basis,FilteredAnalysis,LeachMethod,PrepMethod,PreparationLot,ReportableResult,AnalDate_D,ExtractDate_D,LabReportDate_D,LabRecvDate_D,Lab,LabComments,AnalysisLabID,AnalyticalBatch,ValueCode,RunCode,QCAnalysisCode,AnalysisGroup
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Isopropyl benzene,98-82-8,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.65,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,m&p-Xylenes,,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.78,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"1,1,2-Trichloroethane",79-00-5,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.53,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Cyclohexane,110-82-7,,0,SW846 8260C,5,ug/l,u,z,z,n,5,RL,0.78,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Ethyl benzene,100-41-4,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.6,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Styrene,100-42-5,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.7,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"cis-1,3-Dichloropropene",10061-01-5,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.47,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"trans-1,3-Dichloropropene",10061-02-6,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.43,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"1,4-Dichlorobenzene (VOA)",106-46-7,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.51,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"1,2-Dichloroethane",107-06-2,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.6,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,4-Methyl-2-pentanone,108-10-1,,0,SW846 8260C,5,ug/l,u,z,z,n,5,RL,1.9,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"Cyclohexane, Methyl-",108-87-2,,0,SW846 8260C,5,ug/l,u,z,z,n,5,RL,0.6,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Benzene,71-43-2,,0,SW846 8260C,0.5,ug/l,u,z,z,n,0.5,RL,0.43,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Chlorobenzene,108-90-7,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.56,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,"1,2,4-Trichlorobenzene (VOA)",120-82-1,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.5,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Dibromochloromethane,124-48-1,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.56,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Tetrachloroethene,127-18-4,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.9,MDL,,,,11.88,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Carbon tetrachloride,56-23-5,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.55,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Chloroform,67-66-3,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.5,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Toluene,108-88-3,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.53,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,2-Hexanone,591-78-6,,0,SW846 8260C,5,ug/l,u,z,z,n,5,RL,2,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-5,9/27/2018,z,Water,0,0,ft,0,N,MW-5,JC74729-1,,,CL/AL,,,z,,,JC74729,,,,TOT,,NQ,,,,Xylenes (Total),1330-20-7,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.59,MDL,,,,,,1,n,TOT,,,MS29615,,10/1/2018,,10/24/2018,9/27/2018,ACTD,,SJ24063091,V4B3571,O,OR,TAR,
